编码,名称
.MA4L61L02,湖南中东方轨道科技有限公司
01.12106524U,株洲时代新材料科技股份有限公司
01.12130057P,株洲变流技术国家工程研究中心有限公司
1.13496199,中车南京浦镇车辆有限公司
01.13716142X,中车戚墅堰机车有限公司
1.137168058,中车戚墅堰机车车辆工艺研究所股份有限公司
1.18429374,株洲时代电气绝缘有限责任公司
1.18429382,株洲时代电子技术有限公司
1.184363294,株洲时代橡塑实业有限公司
1.184528183,中国南车集团株洲电力机车研究所时代电工厂
1.184531518,株洲时代电气绝缘有限责任公司特种电工器材分公司
01.38332861M,眉山中车制动科技股份有限公司
01.44517525X,中车株洲电力机车研究所有限公司
01.56619997B,资阳中工机车传动有限公司
01.64668740Y,中车洛阳机车有限公司
1.663975458,中车时代电动汽车股份有限公司
1.707249459,株洲时代工程塑料制品有限责任公司
1.710929922,中国中车股份有限公司
1.750441817,青岛四方客车修理股份有限公司
1.780850865,株洲中车时代电气股份有限公司
1.782532983,北京南车时代制动技术有限公司
01.86693055N,中车资阳机车有限公司
01.A3RP3M288,中车工业研究院（青岛）有限公司
01.LS0000001,南车成都机车车辆有限公司
01.LS0000002,中车石家庄车辆有限公司
01.LS0000003,南车襄樊机车有限公司
01.LS0000004,株洲时代电工技术有限公司
01.LS0000005,中国中车（香港）有限公司
01.LS0000006,南车财务有限公司
01.zjdc00087,南宁中车铝材精密加工有限责任公司
2.069632452,南车国际装备工程有限公司
2.1421297,中车贵阳车辆有限公司
2.150252697,株机-MNG轨道交通系统车辆工业与贸易有限公司
2.177683687,中国南车集团武昌车辆厂
2.184281803,中车株洲电力机车实业管理有限公司
2.184281811,中国南车集团株洲车辆厂
2.207302612,中国南车集团眉山车辆厂
2.381376012,上海中车瑞伯德智能系统股份有限公司
02.40365750X,中车青岛四方机车车辆股份有限公司
2.5697652,广州电力机车有限公司
02.6357624X1,中车四方车辆有限公司
2.710929922,中国南方机车车辆工业集团公司
02.79399700D,襄阳中车电机技术有限公司
2.828112937,CRRC ZELC (INDIA) PRIVATE LTD
2.8339035,长春中车长客瑞赢装备有限公司
2.898166909,中车山东风电有限公司
2.945151377,中车浦镇阿尔斯通运输系统有限公司
02.A1MYJJ90A,无锡中车时代智能装备研究院有限公司
02.A2JFHWC84,浙江尚驰电气有限公司
02.A3T0M5J6W,青岛博锐智远减振科技有限公司
02.A7FC4XU5P,中车戚墅堰机车车辆工艺研究所股份有限公司技术服务分公司
02.ACWN2QH3N,湖南中车时代电驱科技有限公司
02.LS0000001,湖南铁道职业技术学院
02.LS0000002,伊斯坦布尔中车轨道系统车辆与工业有限公司
02.LS0000003,中车工业研究院有限公司
2009800,中国欧洲经济技术合作协会
3.264582788,中国北车集团四方车辆研究所03
3.707248798,株洲西门子牵引设备有限公司
3.71213011,株洲中车天力锻业有限公司
03.A4TDH0P2B,湖南国研交通装备工业设计有限公司
03.LS0000001,北海九方投资开发有限责任公司
03.LS0000002,海南鑫源置业发展有限公司
03.LS0000003,株洲时代佳园实业有限责任公司
05.GF0000096,株洲电力机车厂电视台
05.GF0110100,公司办公室
05.GF0110200,财务中心
05.GF0110300,规划发展部
05.GF0110400,企业管理部
05.GF0110500,营销中心
05.GF0110600,国际贸易处
05.GF0110700,项目管理部
05.GF0110800,人力资源部(组织部)
05.GF0110900,装备工程部
05.GF0111000,审计部
05.GF0111100,物流中心
05.GF0111200,安技环保处
05.GF0111300,质量安全部
05.GF0111400,售后服务处
05.GF0111500,结算中心
05.GF0111701,公共事务部
05.GF0111702,再就业办
05.GF0111703,株洲市医疗保险处田心分处
05.GF0111704,计生办
05.GF0111705,公积金分中心
05.GF0111801,武装保卫部
05.GF0111802,消防队
05.GF0111901,老龄工作处
05.GF0111902,退休办
05.GF0111903,中干办
05.GF0111904,老干办
05.GF0111905,南车株洲电力机车有限公司社会保险管理服务中心
05.GF0111906,南车株洲电力机车有限公司人力资源部失业保险专户
05.GF0111907,社保办
05.GF0111908,后勤保障部
05.GF0111909,九方公寓食堂
05.GF0112001,上海地铁项目经理部
05.GF0112101,技术中心
05.GF0120100,党委办公室
05.GF0120200,党委宣传部
05.GF0120300,组织部
05.GF0120400,纪委(监察部)
05.GF0120500,监察处
05.GF0120600,党校
05.GF0120700,工会
05.GF0120800,技协
05.GF0120900,调解办
05.GF0121000,团委
05.GF0121100,文体中心
05.GF0200000,电机分厂
05.GF0200002,变压器分厂
05.GF0200100,机车事业部
05.GF0200200,转向架事业部
05.GF0200300,制造服务中心
05.GF0200400,车体分厂
05.GF0200500,动电分厂
05.GF0200600,铁路运输服务部
05.GF0200701,海外业务部
05.GF0200800,城轨事业部
05.GF0200900,电器事业部
05.GF0201000,城轨车辆与轨道工程车营销中心
05.GF0201100,信息管理部
05.GF0201110,科技与新产业部
05.GF1280600,南车株洲电力机车有限公司住房公积金管理分中心
05.GF1280610,株洲市医疗保险服务中心田心分中心工伤保险专户
05.GF1280620,株洲市医疗保险服务中心田心分中心生育保险专户
05.LS0000001,待认领
05.LS0000002,中共中车株洲电力机车有限公司委员会组织部
05.LS0000003,项目监造部
06.02077886F,北京北九方轨道交通科技有限公司
6.184289143,株洲九方装备股份有限公司
06.44224732M,宁波市江北九方和荣电气有限公司
6.554935553,中车株洲电力机车有限公司制动分公司
6.743150464,中车株洲电力机车有限公司电气设备分公司
06.76071871X,中车株洲电机有限公司
06.98424675L,南宁中车铝材精密加工有限公司
06.A4L18L20R,中车株洲电力机车有限公司智能装备分公司
06.LS0000001,株洲南车电机股份有限公司特种电机事业部
1000500600,永济中车电机电器修配有限公司
1000502700,中铁检验认证（大连）机车检验站有限公司
1000700000,中车国际有限公司
1001000039,青岛中车电气设备有限公司
1001000049,宝鸡中车时代工程机械有限公司
1001000103,中车广东轨道交通车辆有限公司
1001000130,中车哈尔滨车辆有限公司双盛分公司
1001000149,湖南力行动力科技有限公司
1001000155,中车Transnet轨道交通装备有限公司
1001000166,佛山中车四方轨道车辆有限公司
1001000174,中车长江车辆有限公司冷智装备分公司
1001000204,天津电力机车有限公司
1001000231,湖南中车环境工程有限公司
1001000258,中车株洲车辆有限公司
1001000277,宁波市江北九方和荣电气有限公司株洲分公司
1001000278,中车株洲电力机车有限公司菲律宾分公司
1001000302,苏州中车氢能动力技术有限公司
1001000315,中车株洲电力机车有限公司维保分公司
1001000318,中车株洲电力机车有限公司信息软件科技分公司
1001000426,湖南智融科技有限公司
11..071678580,国讯环球传媒（北京）有限公司
11.00000458B,联想（北京）有限公司
11.00000681,中国铁路投资有限公司
11.00000712N,中国铁道科学研究院集团有限公司
11.00000800A,人民中国杂志社
11.00000817X,中国土木工程集团有限公司设备物资部
11.00001354,百盛商业发展有限公司
11.00001483C,中国纺织信息中心
11.00001686,中国财政经济出版社
11.00001942G,电子工业出版社
11.00002179,交通运输部公路科学研究所
11.0000397X1,中国公路学会
11.00004019N,中国铁道博物馆
11.00004035H,中国国际贸易促进委员会机械行业分会
11.00004254N,经济日报社
11.00004340U,中远海运物流有限公司
11.00004482,首都经济贸易大学
11.00005704,中国铁道企业管理协会
11.00006257Q,中国地方铁路协会
11.00006951X,中国机电产品进出口商会
11.00008893,中国土木工程学会
11.00009952C,北京邮电大学
11.00010070Q,中国青年教育音像出版社
11.0001089X5,中国社会科学院经济研究所
11.00012415,中国科学院电工研究所
11.00013477B,中国国家铁路集团有限公司
11.00013756,中国安全生产协会
11.00014389K,党建读物出版社有限公司
11.00014483,中国铁路新闻工作者协会
11.00016448C,中国进出口银行
11.00018207R,中国投资协会
11.00020882,西门子工厂自动化工程有限公司
11.00034204G,北京东山机械技术有限公司
11.00042156,北京安达泰橡塑制品有限公司
11.00049024C,广联达科技股份有限公司
11.00049043,北京帕尔普线路器材有限公司
11.00054715T,安川首钢机器人有限公司
11.00128815,北京广迅通网络技术有限公司
11.00131651,北京卡达克汽车技术开发有限责任公司
11.00282096J,北京中天高科特种车辆有限公司
11.00311088,北京华高世纪科技股份有限公司
11.0034009XG,赛迪检测认证中心有限公司
11.00372764B,北京铁道书店有限公司
11.00382329W,北京捷润新特自动化控制技术有限责任公司
11.00432552,北京博力加机电技术有限公司
11.00834223C,中国新时代认证中心
11.01104281,中国铁路北京局集团有限公司北京电务段
11.01139941,中技国际招标有限公司
11.01170764,北京唐智科技发展有限公司
11.01193665,北京奥特维科技有限公司
11.01234659U,中新凯悦传媒集团有限公司
11.01347118H,北京康信知识产权代理有限责任公司
11.01360785M,北京城建设计发展集团股份有限公司
11.01514705T,新世纪检验认证有限责任公司
11.01628594C,中国太平洋财产保险股份有限公司北京分公司
11.01636761,中铁十六局集团有限公司
11.01732594P,北京中铁科新材料技术有限公司
11.01747120K,北京博菲信诺装饰工程有限公司
11.01785717T,北京国铁路网信息咨询中心
11.01901035B,北京航天测控技术有限公司
11.0192224X7,北京中土大厦有限公司
11.01966816T,中科软科技股份有限公司
11.02016856N,全时云商务服务股份有限公司
11.02043722T,中国软件与技术服务股份有限公司
11.02071804M,钢研纳克检测技术股份有限公司
11.0208169X9,北京万方数据股份有限公司
11.02098193D,北京华力创通科技股份有限公司
11.02104215L,北京普瑞赛司仪器有限公司
11.0214593XP,北京新明星电子技术开发有限公司
11.02153105,南车投资管理有限公司
11.02293967,北京赛昇科技有限公司
11.0263045X1,北京中车重工机械有限公司
11.0269308XH,北京京园诚得信工程管理有限公司
11.02760094F,北京梦幻三星涂装设备技术开发公司
11.04000936,北京网联信通科技有限公司
11.05141071,北京普尚科技有限公司
11.0514345,北京康为重工机械制造有限公司
11.05356814,德勤咨询（北京）有限公司
11.05558357,华夷通译（北京）信息技术有限公司
11.05564898X,美赫辰进出口（北京）有限公司
11.05730643,中车财务有限公司
11.05736053,北京腾瑞英杰科技有限公司
11.05928754,北京睿信致成管理顾问有限公司
11.06380958R,北京和远科技有限公司
11.064528,久安嘉业（北京）商贸有限公司
11.06491152,北京艾莱时代资讯有限公司
11.06577558J,北京汇银伟业商贸有限公司
11.06726017,北京华博启明国际展览有限公司
11.06728424H,利信时代电源技术（北京）有限公司
11.06730014,北京九方宏信交通装备有限公司
11.06962832,北京大德印象会展有限公司
11.07419238,北京国运华通信息咨询有限公司
11.07663861,北京芃品国际贸易有限公司
11.07859099,北京中电广兴科技有限公司
11.08548986,北京慧达创新科技有限公司
11.08966494,北京天圆全会计师事务所（特殊普通合伙）
11.09580777,北京中昌软件技术有限公司
11.10000011,中国电子进出口总公司
11.10000028,中国图书进出口总公司
11.10000824,中国中材海外科技发展有限公司
11.10001836,中航技国际经贸发展有限公司
11.1000245,中水致远资产评估有限公司
11.10002658,中国国际电子商务有限公司
11.10110356X,中机国际招标有限公司
11.10113308,北京锦鸿希电信息技术股份有限公司
11.10113723,天航工业进出口有限公司
11.10113939,中国北车集团北京南口机车辆机械厂
11.10115184,北方万邦物流有限公司
11.10115657,北京第一机床电器厂有限公司
11.10115753,北京集佳知识产权代理有限公司
11.10115838,五矿国际招标有限责任公司
11.10117476,北京天地东方金刚石技术有限责任公司
11.1011796,北京西马力检测仪器有限公司
11.1011854,中国国际投资促进中心
11.10121103,北京市市政一建设工程有限责任公司
11.10122895,中国如意技贸中心
11.10138416,计华投资管理有限公司
11.10143471,中仪英斯泰克进出口公司
11.10144159,北京市东昌行机电商贸有限责任公司
11.10151085,北京市崇文区建华修配厂
11.1016719,北京市朝阳社会福利精艺磁性元件厂
11.1016883,中国国际展览中心集团有限公司
11.10169014,五矿国际广告展览有限公司
11.10171092,五矿集团财务有限责任公司
11.10172934,北京多元起复机具有限公司
11.10177538,北京天地大方科技文化发展有限公司
11.10178631,北京九龙昌机电超市有限责任公司
11.10189373,北京铁翔工贸公司
11.10190606,北京铁道科学仪器设备有限公司
11.1019094,北京师大光电技术有限公司
11.10191404,北京青云航空仪表有限公司
11.10192146,北京清华清仪技术开发公司
11.10193173,北京兆日科技有限责任公司
11.10194092,北京海淀北科新技术开发公司
11.1019414,北京华天机电研究所有限公司
11.10194471,北京星达科技发展有限公司
11.10194513,北京希望电脑公司
11.10194857,北京市东西电子技术研究所
11.101952,北京纵横机电科技有限公司
11.10195323,北京市海锭兆通电子技术研究所
11.1019678,北京犟力高分子材料研究所
11.10196801,北京约克仪器技术开发有限责任公司
11.10197409,华信技术检验有限公司
11.10198362,中铁科学技术开发有限公司
11.10198925X,北京康创控制技术有限责任公司
11.10201967,北京华铁信息技术有限公司
11.10205443X,北京圣业科技发展有限公司
11.10205475,中仪国际招标公司
11.10207242,中国外运物流发展有限公司
11.10208585,北京市天石系统网络技术中心
11.10211397,北京市中仪爱普科技发展有限责任公司
11.10212274,北京连邦软件股份有限公司
11.1021267,北京奇能工贸公司
11.10215541,北京劳瑞克物资公司
11.10216415,北京铁道工程机电技术研究所股份有限公司
11.10223201,北京晶川电子技术发展有限责任公司
11.10223751,北京哈一工非标刀具销售中心
11.10232597,北京华燃电工设备开发中心
11.10255589,北京市育通京铁机车车辆配件厂
11.10263079,北京市北方办公用品公司
11.10269714,北京银桥牵引动力科技发展有限公司
11.10285386,北京铁路信号有限公司
11.10296194,北京飞博经济发展有限公司
11.10303109,北京市交大路通科技有限公司
11.10921189P,中铁建工集团有限公司
11.1093027XK,中联认证中心（北京）有限公司
11.1093056,中国外运股份有限公司
11.10932021X,中铁特货物流股份有限公司
11.10933198U,人民网股份有限公司
11.10934078B,央视国际网络有限公司
11.13476112,中国物流股份有限公司
11.17785431E,北京憩园仙山茶叶有限公司
11.17803003,《中国人大》杂志社
11.17806941N,中国钢协职业培训中心
11.17828104B,国经咨询有限公司
11.17856308U,工银瑞信基金管理有限公司
11.17863006F,依科视朗（北京）射线设备贸易有限公司
11.17943509X,中铁物总铁路装备物资有限公司
11.18117161Q,北京北清英才文化发展有限公司
11.18396623A,《企业观察报》社有限责任公司
11.22210828Y,范提罗自动化技术（北京）有限公司
11.22612527M,北京华亚正信资产评估有限公司
11.22617563W,北京北大软件工程股份有限公司
11.22617563W删除,北京北大软件工程股份有限公司（删除）
11.25900113M,中发国际资产评估有限公司
11.25904675J,北京四方继保自动化股份有限公司
11.25906144E,中铁电气化局集团有限公司
11.25907462B,通标标准技术服务有限公司
11.26341648W,北京中联钢电子商务有限公司
11.27149210U,北京通微科技有限公司
11.29136191,北京恒昌达利机械制造有限公司
11.3025445X2,北京飞腾图文设计有限公司
11.30347859T,安弗森（北京）新能源汽车技术有限公司
11.30636592,北京政和博宇科技有限公司
11.30643043,北京普睿赛斯机电设备有限公司
11.30785023,长春市台州劳保制品有限公司
11.31803191,北京致知力行文化发展有限公司
11.31803848X,北京中企安能科技中心
11.31834566,北京睿德久信科技股份有限公司
11.31838926,北京同友和创文化发展有限公司
11.33013514,北京水星经典文化传播有限公司
11.33027609B,北京东方国信科技股份有限公司
11.3305501X3,北京求实工程管理有限公司
11.33460339,北京瑞成御朗酒店有限公司
11.33476508G,北京长达信通科技有限公司
11.33612438,北京新联铁集团股份有限公司
11.33694065,华夏基金管理有限公司
11.33723014Q,北京世标认证中心有限公司
11.33730783N,北京中联环建设工程管理有限公司
11.33731727Q,北京中昌工程咨询有限公司
11.3387344,欧菲斯办公伙伴长春有限公司
11.35528968,中招睿达（北京）咨询管理有限公司
11.3561754,北京正锐科技有限公司
11.35830397,北京朗格云图科技有限公司
11.36467658D,北京东方康程通信技术有限公司
11.36482248,北京京东世纪信息技术有限公司
11.36487034C,北京软安科技有限公司
11.37682982M,中车物流有限公司
11.38201255F,北京森馥科技股份有限公司
11.38240473F,中信国安盟固利动力科技有限公司
11.3960373,奈斯赫贸易（北京）有限公司
11.3975791,北京埃利沃德科技有限公司
11.39805094M,百望股份有限公司
11.40000045,北京德恒律师事务所
11.40000113,北京航天计量测试技术研究所
11.40000152,中国铁道出版社有限公司
11.40000154,中国铁道科学研究院节能环保劳卫研究所
11.4000022,中国电子技术标准化研究院
11.40000373,中国航空工业第一集团北京航空精密机械研究所
11.40000375,中国航空综合技术研究所
11.4000059,中国电子信息产业发展研究院
11.40000913,北京理工大学
11.40001123,北京航空航天大学
11.40001139,中国人民人寿保险股份有限公司
11.40001183,冶金工业部自动化研究院
11.40001222X,中国科学院力学研究所
11.40001321,北京无线电计量测试研究所
11.40001969,国家安全生产监督管理总局国际交流合作中心
11.40068741,北京工业大学
11.40077768,核工业北京化工冶金研究院
11.40083104L,北京默奥机车车辆研究所
11.40085274,北方汽车质量监督检验鉴定试验所
11.40088345,中国科学院声学研究所
11.44320200W,北京北交新能科技有限公司
11.44723949N,中国金桥旅游有限公司北京营业部
11.4545371,北京奥士达邦联科技有限公司
