项目简称,项目编号,项目名称
160CFGZ,E2102D51,长沙160KM磁浮改造项目整车修理
A,X2306N00,新一代轨道交通高效驱动系统技术-轴箱内置式永磁直驱走行驱动系统集成关键技术研究领料
ALLP,ALLP,通用项目
AMGL30,165500,马来西亚安邦线轻轨车辆项目新造
AMGLRV,5446012,马来西亚安邦线项目新造
BZDT,X191DS00,系列化中国标准地铁列车研制及试验
BZDT,X2004S00,系列化中国标准地铁研制及试验项目--A型车（120km/h）领料
CJ6,C2004B01,长株潭（CJ6型）城际动车组项目车辆厂内新造
CJ6,B18D0201,长株潭（CJ6型）城际动车组项目新造
CJ6(三级修),C2307D51,CJ6三级修整车修理
CJ6三级修（0711-0715）,C2435D51,CJ6型动车组三级修整车架修
CJ6四级修,C2436D51,CJ6型动车组四级修整车架修
CNDDB,3601011,储能车项目
CSCF,166400,长沙中低速磁浮交通线项目新造
CSCF1E,E2103B02,长沙磁浮东延线（T3航站楼）项目
CSCF1S,174500,长沙磁悬浮增购项目新造（0001-0002） 
CSL1,163701,长沙轨道交通1#线一期项目永磁电机项目（0023）
CSL1,163700,长沙轨道交通1#线一期项目（0001-0023） 
CSL1,163709,长沙轨道交通1#线一期项目材料销售 
CSL1S,B2203B01,长沙地铁1号线北延线项目车辆厂内新造
CSL2S,165900,长沙地铁2#线增购新造
CSL2S2,B2149B01,长沙地铁2号线增购列车项目 车辆厂内新造
CSL2X2,B2202B01,长沙2号线西延二期项目车辆厂内新造
CSL4,B17C0011,长沙市轨道交通4号线一期工程车辆项目
CSL6,B2017B01,长沙地铁6号线项目车辆厂内新造
CXF,X1401V00,中低速磁浮列车关键系统维护技术研究及应用
CZT,6.10101E+11,长株潭动车组研制项目
CZTCJXHL,B2102B05,长株潭城际西环线一期项目新造
DDAEMU,6.10102E+11,时速200公里动力分散铝合金双层动车组
DEMU2,61010191,符合TSI标准双层动车组研制
DHYLF,169400,武汉大汉阳有轨电车项目新造（0001-0002）
DSCGC,M2003B01,齿轨列车项目新造车辆厂内新造
DUATBEL,D2001B02,香港DUAT线蓄电池工程车项目（城轨）新造
ETS,161500,马来西亚ETS动车组项目新造
ETS2,175901,马来西亚ETS2动车组项目（城轨专用） 
ETS3,C2103B01,马来西亚ETS3动车组项目 车辆厂内新造
ETS3,C2103B90,马来西亚ETS3动车组项目 （TCM转向架）
ETS3,C2103B91,马来西亚ETS3动车组项目本地化分包  
FHCF,E2001B01,凤凰中低速磁浮文化旅游项目新造（0001-0005） 
FHCFG,E2001B15,凤凰中低速磁浮文化旅游项目个性化改造 
GL4RS,B2221B01,墨西哥瓜达拉哈拉4号线轻轨项目车辆厂内新造
GZML10EL,B2003B01,广州地铁10号线项目新造
GZML11,S22BTC36,广州11号线
GZML11,B2004B01,广州地铁11号线项目新造
GZML12,S22BTC26,广州12号线  
GZML12,B2005B01,广州地铁12号线项目新造
GZML12,B2005B92,广州地铁12号线项目分包（0001） 
GZML12,B2005B91,广州地铁12号线项目分包
GZML12N,B2005B02,广州地铁12号线下一代地铁项目新造（0047）
GZML14,B2006B01,广州地铁14号线二期项目新造
GZML18,B19B0401,广州地铁18号线项目新造 
